TELMEX/SISA Sistema de Búsqueda y Consultas 01/07/13 11:37:11| BELTRAN JESUS OMAR DSFS
Folio|Referencia Servicio|Desc. Articulo|Alcance|Ent. ACO|Cliente|F.Due Date|Fase|Edo|T.P.|F.Edo|F.de Liberación|Contrato|Criticidad|Tipo de Enl|Prioritario|
1391616|A32-1306-0105|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|26/06/13|ALT|LEA|CMO|21/06/13|07/06/13 12:28|TX-0804-1916-2|4 |Principal||
1391814|A32-1306-0124|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|02/07/13|ALT|ESA|CMO|26/06/13|10/06/13 10:16|TX-0809-3164-2|4 |Principal||
1391884|A32-1306-0127|Ladaenlace 2m V35 Local|Local|ACOPTE|UNINET|09/07/13|ALT|LEA|ALT|27/06/13|10/06/13 11:56|TX-1306-1173|4 |Principal||
1391895|A32-1306-0129|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|27/06/13|ALT|LEA|CMO|25/06/13|10/06/13 13:31|TX-0906-0143-2|4 |Principal||
1391919|A32-1306-0131|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|27/06/13|ALT|LEA|CMO|27/06/13|10/06/13 13:29|TX-0804-2521-2|4 |Principal||
1392346|CB6-1306-0011|Le Carrier Ethernet Baja Velocidad 6m Local|Local|ACOPTE|UNINET|08/07/13|ECA|AFE|ALT|01/07/13|01/07/13 09:14|TX-1306-1671|4 |||
1392797|D32-1210-1206|Ladaenlace 2M-G703 Local|Local|ACOPTE|UNINET|02/07/13|ALT|PPC|CCT|28/06/13|13/06/13 09:26|TX-1210-4738-2|4 |Principal||
1393094|A32-1306-0212|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|08/07/13|ALT|ERU|CMO|28/06/13|14/06/13 09:17|TX-0804-1827-2|4 |Principal||
1394036|A03-1306-0027|Lada Enlace 192-V35 Local|Local|ACOSUR|UNINET|12/07/13|ALT|ESA|CD2|24/06/13|18/06/13 17:16|TX-0903-2521-3|4 |Principal||
1394099|A32-1306-0286|Ladaenlace 2m V35 Local|Local|ACOPTE|UNINET|08/07/13|ALT|PPU|ALT|27/06/13|19/06/13 11:27|TX-1306-2782|4 |Principal||
